instance_id,strategy,difficulty,semantic_evaluator,valid,hard_score,semantic_score,total_score,violations,attempts,time_ms,message
inst_0001,direct,baja,llm,False,0.8000,0.85,0.8150,1,1,27086.506,"Estimado cliente, te invitamos a participar en nuestra próxima actividad, un evento exclusivo que te permitirá conocer a otros clientes y expertos en el sector. Será una oportunidad única para establecer contactos valiosos y aprender de las últimas tendencias. ¡No te pierdas esta oportunidad!"
inst_0001,repair,baja,llm,False,0.8000,0.85,0.8150,1,2,4839.285,"Estimado cliente, le invitamos a participar en nuestra próxima actividad, un evento innovador que promete revolucionar su negocio. Será una oportunidad única para conectarse con otros líderes y descubrir nuevas tendencias. ¡No se pierda la oportunidad de estar al tanto de lo último en su sector!"
inst_0001,multi,baja,llm,False,0.8000,0.85,0.8150,1,2,2596.42,"Estimado cliente, nos complace invitarte a participar en nuestra próxima actividad, un evento exclusivo que te permitirá conocer a otros clientes y expertos en el sector. Será una excelente oportunidad para establecer contactos valiosos y aprender sobre las últimas tendencias. Esperamos verte allí."
inst_0002,direct,baja,llm,True,1.0000,0.85,0.9550,0,1,1037.484,"Estimado cliente, le recordamos que el pago de la factura correspondiente a la fecha de 15 de junio debe ser realizado antes del 20 de junio. Por favor, verifique su calendario y realice el pago a tiempo para evitar cualquier inconveniente. Atentamente, su equipo de atención al cliente."
inst_0002,repair,baja,llm,True,1.0000,0.85,0.9550,0,1,2062.414,"Estimado cliente, le recordamos que nuestra empresa cerrará sus oficinas el próximo lunes 17 de julio debido a la fecha de vacaciones anuales. Por lo tanto, le pedimos que realice cualquier trámite pendiente antes de ese día. Agradezco su atención a este asunto."
inst_0002,multi,baja,llm,True,1.0000,0.85,0.9550,0,1,1766.715,"Estimado cliente, le recordamos que nuestra empresa cerrará sus oficinas el próximo lunes 17 de julio debido a la fecha de vacaciones anuales. Por favor, coordine sus asuntos pendientes antes de esa fecha. Agradezco su atención a este asunto."
inst_0003,direct,baja,llm,True,1.0000,0.675,0.9025,0,1,925.062,"Estimado amigo, me alegra expresar mi reconocimiento por tu reciente éxito en tu carrera profesional. Tu dedicación y esfuerzo han sido fundamentales para alcanzar este logro. Me complace felicitarte por este hito importante en tu vida. Agradezco la oportunidad de compartir esta emoción contigo."
inst_0003,repair,baja,llm,True,1.0000,0.85,0.9550,0,2,1533.802,"Estimado amigo, me dirijo a ti con el más sincero reconocimiento por tu reciente éxito. Tu perseverancia y dedicación han sido fundamentales para alcanzar este logro. Me complace ver que tu esfuerzo ha sido recompensado con el reconocimiento que mereces. Te agradezco la oportunidad de compartir mi felicitación contigo."
inst_0003,multi,baja,llm,False,0.8000,0.8875,0.8262,1,1,10387.041,"Querido amigo, me alegra expresarte mi más sincero reconocimiento por tu reciente éxito. Tu perseverancia y dedicación han sido fundamentales para alcanzar este logro. Me complace ver que tus esfuerzos han sido recompensados con un reconocimiento merecido. Te felicito de corazón por este triunfo. Agradezco la oportunidad de compartir mi felicitación contigo."
inst_0004,direct,baja,llm,True,1.0000,0.8875,0.9662,0,1,6794.21,"Estimado coordinador, me disculpo por cualquier inconveniente causado por la demora en encontrar una solución adecuada para el proyecto. Entiendo que la falta de progreso ha generado incertidumbre y frustración. Estoy trabajando arduamente para encontrar una solución efectiva y oportuna. Agradezco su comprensión y apoyo en este momento."
